output_state,experiment,diagnosis
xx,11800647750598882_mini_set1_PNU_v1,batch_size>dataset_size
ok,11806278838251361_mini_set1_TEX_DTD_v1,success
ok,118063811988145205_mini_set1_RSICB_v1,success
ok,119295165166070493_mini_set0_FLW_v1,success
xx,119345635926448573_mini_set1_INS_2_v1,OOM
ok,191285892060802399_mini_set1_APL_v1,success
xx,11966584963849403_mini_set1_ACT_40_v1,OOM
ok,119699739137408722_mini_set0_BCT_v1,success
ok,119882761664790862_mini_set2_ACT_410_v1,success
ok,120211473057374088_mini_set2_AWA_v1,success
ok,19129292329488071_mini_set2_FNG_v1,success
ok,191530075459593917_mini_set0_BCT_v1,success
ok,19164909405060045_mini_set1_TEX_DTD_v1,success
xx,19170250330386585_mini_set2_MD_6_v1,diverged
ok,19406934670464921_mini_set1_DOG_v1,success
xx,121711753082199864_mini_set2_BTS_v1,success
ok,122033920547198830_mini_set2_TEX_ALOT_v1,success
xx,19447965377469302_mini_set0_TEX_v1,cuDNN_error
ok,19570698116149575_mini_set1_MD_5_BIS_v1,success
ok,122406416946294743_mini_set1_TEX_DTD_v1,success
ok,12255283752276784_mini_set2_PRT_v1,success
ok,12272668543557120_mini_set1_DOG_v1,success
ok,12292006187552574_mini_set2_TEX_ALOT_v1,success
ok,123387746770273389_mini_set1_RSICB_v1,success
ok,12422785411109073_mini_set2_BTS_v1,success
ok,124656401751263118_mini_set2_RSD_v1,success
ok,124986565237286636_mini_set2_MD_6_v1,success
xx,12505560790418583_mini_set0_TEX_v1,AMP
xx,12539269722243211_mini_set0_RESISC_v1,diverged
ok,12563274013731864_mini_set1_INS_2_v1,success
ok,19583998155934720_mini_set1_DOG_v1,success
ok,196701390716471295_mini_set1_ACT_40_v1,success
ok,19702408558315799_mini_set0_PLK_v1,success
ok,19759664439717983_mini_set2_ACT_410_v1,success
ok,19795064155795212_mini_set0_RESISC_v1,success
xx,19818450987176829_mini_set1_TEX_DTD_v1,AMP
ok,198530862181755969_mini_set0_PLT_VIL_v1,success
xx,125781389295014663_mini_set2_PRT_v1,AMP
xx,126139781218314002_mini_set1_DOG_v1,OOM
ok,126161005771978388_mini_set1_RSICB_v1,success
ok,126686302496820839_mini_set2_RSD_v1,success
ok,12675216317794976_mini_set1_PLT_NET_v1,success
ok,12677074133036207_mini_set2_MD_6_v1,success
ok,198826981877886495_mini_set0_TEX_v1,success
ok,19914006405913386_mini_set0_PLT_VIL_v1,success
ok,199161912028391072_mini_set2_RSD_v1,success
ok,19964116045046486_mini_set1_MED_LF_v1,success
ok,20056787023477519_mini_set2_INS_v1,success
ok,2011303323950319_mini_set0_MD_MIX_v1,success
xx,201369885687804973_mini_set1_ACT_40_v1,OOM
ok,20140134538694383_mini_set1_PNU_v1,success
ok,20150082472981051_mini_set0_RESISC_v1,success
ok,2025596368514559_mini_set2_FNG_v1,success
xx,20402871407484650_mini_set2_PLT_DOC_v1,OOM
ok,20431674944342275_mini_set2_MD_6_v1,success
ok,205991544226341701_mini_set1_APL_v1,success
ok,20568668426048495_mini_set0_BCT_v1,success
ok,128066297985587717_mini_set0_TEX_v1,success
ok,20753689075626840_mini_set1_RSICB_v1,success
xx,12817437242294191_mini_set1_PNU_v1,AMP
ok,128732252674250397_mini_set0_CRS_v1,success
ok,12844123355636306_mini_set0_CRS_v1,success
xx,20811755037169359_mini_set2_PRT_v1,diverged
ok,20996964405711983_mini_set0_BCT_v1,success
ok,129325888497551554_mini_set0_BRD_v1,success
xx,129509780204042345_mini_set1_INS_2_v1,OOM
xx,211982912731515_mini_set1_PNU_v1,AMP
ok,20744700591037003_mini_set0_MD_MIX_v1,success
xx,13219444326810561_mini_set0_MD_MIX_v1,AMP
ok,13379068321754999_mini_set0_PLK_v1,success
ok,213613133069532979_mini_set0_CRS_v1,success
ok,133873805158373524_mini_set2_RSD_v1,success
ok,21476065605981676_mini_set2_MD_6_v1,success
ok,21483731094465374_mini_set0_RESISC_v1,success
ok,21560095912203906_mini_set1_PLT_NET_v1,success
ok,21789423099549955_mini_set2_PLT_DOC_v1,success
ok,21713769986177814_mini_set2_RSD_v1,success
ok,21817989625347313_mini_set0_CRS_v1,success
ok,134652913745460135_mini_set2_FNG_v1,success
ok,21451000145922389_mini_set2_MD_6_v1,success
xx,21845288277378024_mini_set1_MD_5_BIS_v1,NoCUDA
xx,2185614113154365_mini_set1_RSICB_v1,NoCUDA
xx,2193882022408505_mini_set0_TEX_v1,NoCUDA
ok,22017652489728890_mini_set2_ACT_410_v1,success
xx,13631069259434466_mini_set0_FLW_v1,NoCUDA
ok,22049721896407896_mini_set2_PLT_DOC_v1,success
xx,22095604763921331_mini_set0_RESISC_v1,AMP
ok,221699825931165952_mini_set2_PLT_DOC_v1,success
ok,22199253631575383_mini_set2_INS_v1,success
xx,22211088045044457_mini_set1_ACT_40_v1,AMP
xx,22347333872977300_mini_set2_PRT_v1,OOM
ok,224359816512293567_mini_set0_RESISC_v1,success
xx,13711745415243045_mini_set0_SPT_v1,OOM
ok,137249535340454961_mini_set1_APL_v1,success
ok,22600273658329108_mini_set1_PNU_v1,success
ok,22623114356636939_mini_set2_FNG_v1,success
ok,22685419152591035_mini_set2_PLT_DOC_v1,success
ok,22815179777630122_mini_set1_RSICB_v1,success
ok,22699970884148305_mini_set0_CRS_v1,success
ok,13775615448537268_mini_set0_CRS_v1,success
ok,2295418263156179_mini_set1_PLT_NET_v1,success
ok,101449176740089726_mini_set1_DOG_v1,success
ok,100239152903273275_mini_set2_PRT_v1,success
ok,100423834391031358_mini_set0_MD_MIX_v1,success
ok,10083814934861020_mini_set2_TEX_ALOT_v1,success
xx,10017762325121273_mini_set0_BCT_v1,diverged
ok,100281397475676210_mini_set1_TEX_DTD_v1,success
ok,100321137860067916_mini_set0_SPT_v1,success
ok,100563378487690834_mini_set0_BCT_v1,success
ok,100160203634018772_mini_set0_BCT_v1,success
ok,10011670665608324_mini_set2_PRT_v1,success
ok,100127337910306834_mini_set2_ACT_410_v1,success
xx,100137654139182253_mini_set2_ACT_410_v1,AMP
ok,1001027908207854_mini_set0_CRS_v1,success
ok,10037275841525775_mini_set0_RESISC_v1,success
ok,10097053711253041_mini_set2_INS_v1,success
ok,100421623334194238_mini_set2_RSD_v1,success
ok,101651263000499141_mini_set0_TEX_v1,success
ok,100562185288038229_mini_set1_PLT_NET_v1,success
xx,100313958514010469_mini_set2_ACT_410_v1,OOM
ok,100696788331297854_mini_set1_MD_5_BIS_v1,success
ok,10175609899294998_mini_set1_PLT_NET_v1,success
ok,10048875301630839_mini_set2_TEX_ALOT_v1,success
ok,100317808712675780_mini_set2_INS_v1,success
ok,10056729486034908_mini_set2_PRT_v1,success
ok,102440144513217581_mini_set2_RSD_v1,success
ok,102140113730643895_mini_set0_PLK_v1,success
ok,100747707999089996_mini_set0_BCT_v1,success
xx,10082379963161573_mini_set1_MED_LF_v1,AMP
ok,101152828757641350_mini_set2_AWA_v1,success
ok,10154715291441110_mini_set0_PLK_v1,success
ok,101872690205721451_mini_set2_PLT_DOC_v1,success
xx,101272339251196442_mini_set1_TEX_DTD_v1,OOM
ok,100551476461653760_mini_set2_INS_v1,success
ok,10087411443281611_mini_set1_DOG_v1,success
ok,10221447284353102_mini_set2_MD_6_v1,success
ok,102689076860535248_mini_set0_MD_MIX_v1,success
xx,102187473783171251_mini_set1_PNU_v1,AMP
xx,10124468896061729_mini_set2_AWA_v1,AMP
ok,100368800628112646_mini_set0_FLW_v1,success
ok,23007148667950520_mini_set0_SPT_v1,success
ok,100504369193986802_mini_set0_MD_MIX_v1,success
ok,102560541396477026_mini_set0_RESISC_v1,success
ok,101862473024417780_mini_set0_BRD_v1,success
ok,100880203078553510_mini_set1_TEX_DTD_v1,success
ok,102724358968054043_mini_set2_PLT_DOC_v1,success
xx,1001190573203910_mini_set0_CRS_v1,OOM
ok,1034225960328505_mini_set0_BRD_v1,success
ok,101164895536564772_mini_set0_RESISC_v1,success
xx,1010533982134841_mini_set0_SPT_v1,cuDNN_error
ok,10113441139066147_mini_set0_TEX_v1,success
ok,23014107361307581_mini_set2_AWA_v1,success
xx,23012728800455665_mini_set0_CRS_v1,OOM
ok,10248098137293517_mini_set0_TEX_v1,success
ok,102237115359515632_mini_set2_AWA_v1,success
xx,103099178845248025_mini_set1_MED_LF_v1,AMP
ok,102367668661533179_mini_set2_TEX_ALOT_v1,success
ok,102237274856900689_mini_set1_ACT_40_v1,success
ok,10395875114466109_mini_set1_PNU_v1,success
ok,23194510069987399_mini_set2_AWA_v1,success
ok,10238417762986917_mini_set1_MD_5_BIS_v1,success
ok,102697465800734518_mini_set0_BCT_v1,success
ok,10326633133386167_mini_set0_RESISC_v1,success
ok,1025370867813063_mini_set1_RSICB_v1,success
xx,103368899053290606_mini_set2_FNG_v1,OOM
ok,10270626760672186_mini_set2_MD_6_v1,success
ok,104091773777972139_mini_set1_PNU_v1,success
ok,1037039705520088_mini_set2_PRT_v1,success
ok,103132199697624400_mini_set1_PNU_v1,success
ok,10387440901040041_mini_set2_RSD_v1,success
ok,103171730403126134_mini_set1_INS_2_v1,success
ok,103182344864352005_mini_set2_AWA_v1,success
xx,10381237268746701_mini_set1_DOG_v1,AMP
ok,23427086025942835_mini_set0_RESISC_v1,success
xx,102278936832798022_mini_set1_PNU_v1,batch_size>dataset_size
xx,102615558987463749_mini_set1_APL_v1,batch_size>dataset_size
xx,102711956437672702_mini_set2_BTS_v1,NoCUDA
xx,103186634293619092_mini_set1_RSICB_v1,NoCUDA
xx,104631892508555689_mini_set1_DOG_v1,AMP
ok,103366383244427247_mini_set2_PLT_DOC_v1,success
ok,101463000844782343_mini_set0_TEX_v1,success
ok,10332979897479395_mini_set0_MD_MIX_v1,success
ok,10426632681736895_mini_set1_MD_5_BIS_v1,success
ok,14071200635275659_mini_set1_PLT_NET_v1,success
xx,101912390336663472_mini_set0_BRD_v1,OOM
ok,142015511397678154_mini_set1_RSICB_v1,success
ok,142656613311246744_mini_set0_PLT_VIL_v1,success
xx,103004463280810181_mini_set1_MD_5_BIS_v1,OOM
ok,142439658177362310_mini_set1_MD_5_BIS_v1,success
xx,10202649801630059_mini_set0_BRD_v1,AMP
ok,103494358779699489_mini_set0_BCT_v1,success
xx,103982297235485963_mini_set1_MD_5_BIS_v1,AMP
xx,101466209307237403_mini_set0_MD_MIX_v1,OOM
xx,102158771654770794_mini_set1_INS_2_v1,NoCUDA
xx,105094857870478000_mini_set1_INS_2_v1,OOM
ok,105122010695209930_mini_set2_ACT_410_v1,success
ok,102506877328178784_mini_set0_CRS_v1,success
ok,103137136900747523_mini_set0_CRS_v1,success
ok,102711568989865482_mini_set0_RESISC_v1,success
ok,103198234966572968_mini_set2_FNG_v1,success
ok,101912124900397959_mini_set0_BRD_v1,success
ok,101602690600694908_mini_set1_DOG_v1,success
ok,103198234966572968_mini_set2_FNG_v1,success
ok,103592088096905919_mini_set1_PNU_v1,success
ok,23568770888544623_mini_set1_PLT_NET_v1,success
ok,14354154545488262_mini_set2_ACT_410_v1,success
ok,102982441305126998_mini_set0_MD_MIX_v1,success
ok,10421154487360030_mini_set0_RESISC_v1,success
xx,10332453018848961_mini_set1_ACT_40_v1,diverged
ok,10523623834416508_mini_set0_SPT_v1,success
ok,10370612709557009_mini_set1_INS_2_v1,success
xx,10529116642451092_mini_set0_TEX_v1,OOM
ok,10166577770876244_mini_set0_CRS_v1,success
ok,10551489467483732_mini_set2_PLT_DOC_v1,success
ok,10578655685429497_mini_set0_TEX_v1,success
ok,102022663655553585_mini_set1_DOG_v1,success
xx,102063388988210573_mini_set1_PLT_NET_v1,OOM
ok,102098946934360828_mini_set2_BTS_v1,success
ok,2356982483253587_mini_set0_RESISC_v1,success
ok,23606166295118623_mini_set1_DOG_v1,success
ok,14512347120714188_mini_set1_DOG_v1,success
ok,237803840629096995_mini_set0_MD_MIX_v1,success
ok,10390101013643983_mini_set2_FNG_v1,success
ok,23814763918844939_mini_set0_FLW_v1,success
ok,104255977720780281_mini_set2_PLT_DOC_v1,success
xx,104153172641024539_mini_set0_CRS_v1,AMP
xx,105218729989787187_mini_set2_ACT_410_v1,AMP
ok,10491491598318067_mini_set2_ACT_410_v1,success
xx,105610561053328569_mini_set0_CRS_v1,diverged
ok,106004469094306166_mini_set1_INS_2_v1,success
ok,14628655445609544_mini_set2_TEX_ALOT_v1,success
ok,102843809113519930_mini_set2_PRT_v1,success
ok,10293292760705823_mini_set0_RESISC_v1,success
ok,104452245801301685_mini_set2_PLT_DOC_v1,success
ok,106229019793839796_mini_set2_MD_6_v1,success
ok,10624006390880757_mini_set0_BCT_v1,success
ok,106545137355324628_mini_set0_CRS_v1,success
ok,107264761874754850_mini_set2_INS_v1,success
ok,103762763725815550_mini_set1_ACT_40_v1,success
ok,10638374234738108_mini_set0_TEX_v1,success
xx,102777780404510669_mini_set2_TEX_ALOT_v1,AMP
xx,10311980938843882_mini_set1_PLT_NET_v1,AMP
ok,106008397430245413_mini_set2_ACT_410_v1,success
xx,103251677314907508_mini_set2_RSD_v1,OOM
ok,107605381972425510_mini_set2_AWA_v1,success
ok,104030873933068_mini_set2_PLT_DOC_v1,success
ok,106135525565353511_mini_set1_TEX_DTD_v1,success
xx,10835501953357283_mini_set1_PNU_v1,AMP
xx,104583302274093713_mini_set2_RSD_v1,AMP
ok,108062699899406181_mini_set2_BTS_v1,success
ok,10412447540519144_mini_set0_RESISC_v1,success
xx,1084331598037331_mini_set1_MED_LF_v1,AMP
ok,10687808780603921_mini_set2_INS_v1,success
xx,1089851879206751_mini_set2_PRT_v1,AMP
ok,10641438751492216_mini_set1_DOG_v1,success
xx,10954165052743762_mini_set0_BCT_v1,success
ok,11018434493086409_mini_set1_INS_2_v1,success
ok,107024576818918850_mini_set1_TEX_DTD_v1,success
xx,110395569665164373_mini_set1_MD_5_BIS_v1,diverged
ok,10754363492451529_mini_set1_TEX_DTD_v1,success
xx,107729578310743129_mini_set1_DOG_v1,AMP
ok,110951654920640821_mini_set1_MED_LF_v1,success
xx,107782359931284621_mini_set2_RSD_v1,OOM
ok,111363496634824154_mini_set1_PLT_NET_v1,success
ok,10362724111063473_mini_set0_PLT_VIL_v1,success
ok,11145585344206384_mini_set1_APL_v1,success
ok,104373018614039705_mini_set2_INS_v1,success
ok,10311933647411497_mini_set0_FLW_v1,success
xx,23991146148419785_mini_set1_INS_2_v1,OOM
ok,10442850975515222_mini_set2_INS_v1,success
xx,104468170572968295_mini_set0_PLK_v1,OOM
ok,2424320709137115_mini_set0_MD_MIX_v1,success
xx,105272198766724283_mini_set1_PNU_v1,batch_size>dataset_size
ok,112256803435450336_mini_set1_ACT_40_v1,success
ok,103120370631691465_mini_set1_PNU_v1,success
ok,104550732131738686_mini_set1_MED_LF_v1,success
ok,104641217643218958_mini_set0_RESISC_v1,success
xx,105170267019031525_mini_set1_PLT_NET_v1,AMP
ok,103532064313319994_mini_set1_PNU_v1,success
xx,10359312415137867_mini_set2_ACT_410_v1,AMP
xx,243838150750137922_mini_set2_PRT_v1,batch_size>dataset_size
ok,24393990780021891_mini_set2_RSD_v1,success
ok,24475921138851051_mini_set0_PLK_v1,success
xx,105975299536666893_mini_set1_TEX_DTD_v1,AMP
xx,10527864773349053_mini_set0_TEX_v1,AMP
ok,104157234035789220_mini_set0_PLK_v1,success
xx,106190736539892622_mini_set1_MD_5_BIS_v1,cuDNN_error
ok,106644801653549070_mini_set1_ACT_40_v1,success
xx,24738883860832544_mini_set0_MD_MIX_v1,OOM
ok,106699006128989058_mini_set0_SPT_v1,success
xx,10808941598832983_mini_set2_MD_6_v1,AMP
ok,103923008097339626_mini_set1_TEX_DTD_v1,success
ok,10438012759798738_mini_set2_AWA_v1,success
ok,104487120734324861_mini_set0_PLK_v1,success
ok,10452294348607325_mini_set1_PLT_NET_v1,success
ok,10480168290771669_mini_set1_DOG_v1,success
ok,104595054055108086_mini_set0_MD_MIX_v1,success
ok,10636515863722185_mini_set2_FNG_v1,success
ok,106652206208926992_mini_set0_RESISC_v1,success
ok,105752631351695117_mini_set2_RSD_v1,success
ok,104903007927019169_mini_set2_PRT_v1,success
ok,104767020675392688_mini_set0_PLK_v1,success
xx,105216807798341677_mini_set0_RESISC_v1,AMP
ok,105247316885186799_mini_set0_TEX_v1,success
ok,10673538093248694_mini_set0_CRS_v1,success
xx,10472018957621180_mini_set2_ACT_410_v1,success
ok,112630944932537073_mini_set0_RESISC_v1,success
xx,113064454320754525_mini_set0_CRS_v1,OOM
xx,104879849686767185_mini_set2_AWA_v1,OOM
xx,10683609968702020_mini_set1_DOG_v1,OOM
ok,107219968352890090_mini_set2_FNG_v1,success
ok,105981065137131484_mini_set2_MD_6_v1,success
ok,10707968439445465_mini_set0_MD_MIX_v1,success
ok,10743029619569076_mini_set0_BCT_v1,success
ok,107868486969586963_mini_set2_AWA_v1,success
ok,10623900663670638_mini_set2_AWA_v1,success
ok,106260255205848405_mini_set2_PRT_v1,success
ok,10633857704175264_mini_set1_RSICB_v1,success
ok,10530776923615088_mini_set1_TEX_DTD_v1,success
ok,10857900254493506_mini_set1_APL_v1,success
ok,24824816118396963_mini_set0_BRD_v1,success
ok,106186671223685874_mini_set2_ACT_410_v1,success
ok,109051624722396064_mini_set1_PLT_NET_v1,success
ok,106553522007778848_mini_set2_ACT_410_v1,success
xx,24895148997143319_mini_set2_RSD_v1,OOM
ok,104394611606714130_mini_set1_PNU_v1,success
xx,10545318425123338_mini_set2_BTS_v1,OOM
ok,105791369228170292_mini_set0_PLK_v1,success
ok,109132771986720224_mini_set1_PLT_NET_v1,success
ok,104576096630738079_mini_set0_BRD_v1,success
xx,106687623283217231_mini_set2_PRT_v1,OOM
ok,104677010118028138_mini_set1_PLT_NET_v1,success
ok,11382453466718312_mini_set2_PLT_DOC_v1,success
ok,106851991756425476_mini_set0_FLW_v1,success
xx,107170543319371453_mini_set1_RSICB_v1,AMP
xx,106892615396244442_mini_set1_RSICB_v1,AMP
ok,107342739133364254_mini_set0_PLK_v1,success
xx,107168187467545219_mini_set0_TEX_v1,AMP
xx,106892495123871934_mini_set0_FLW_v1,OOM
ok,10692514705873318_mini_set0_PLT_VIL_v1,success
xx,10724959636630045_mini_set1_ACT_40_v1,AMP
xx,109411608878342619_mini_set0_BRD_v1,AMP
ok,109669501659730939_mini_set2_FNG_v1,success
ok,105944688441549104_mini_set1_TEX_DTD_v1,success
ok,105246672380613098_mini_set1_PLT_NET_v1,success
ok,106085095106393566_mini_set0_BCT_v1,success
ok,106181164065811268_mini_set1_DOG_v1,success
ok,10768215390868059_mini_set1_MED_LF_v1,success
ok,10746674053796408_mini_set2_AWA_v1,success
ok,10783844101689782_mini_set2_PLT_DOC_v1,success
ok,108376153811888065_mini_set2_AWA_v1,success
ok,11410992442475374_mini_set0_PLT_VIL_v1,success
ok,10530395838124390_mini_set1_MD_5_BIS_v1,success
ok,10807443650236345_mini_set2_PLT_DOC_v1,success
ok,106522975814817829_mini_set1_RSICB_v1,success
ok,108302679973085832_mini_set2_MD_6_v1,success
ok,107302916723125701_mini_set1_PNU_v1,success
ok,10579392582169601_mini_set0_RESISC_v1,success
xx,24942886512277359_mini_set0_PLK_v1,AMP
ok,105866119155805411_mini_set0_PLT_VIL_v1,success
ok,249575201260931903_mini_set2_INS_v1,success
xx,106088338746452905_mini_set1_MD_5_BIS_v1,AMP
ok,106379487358175324_mini_set2_AWA_v1,success
ok,10637582349826692_mini_set0_TEX_v1,success
ok,106408641571872884_mini_set1_ACT_40_v1,success
xx,114345224854788051_mini_set0_PLK_v1,AMP
ok,10897921585130804_mini_set0_BRD_v1,success
ok,11437937477391909_mini_set2_MD_6_v1,success
ok,108318357642495246_mini_set1_INS_2_v1,success
ok,10653119930892886_mini_set1_INS_2_v1,success
ok,107408410197849309_mini_set1_RSICB_v1,success
xx,110118200450490845_mini_set2_PRT_v1,batch_size>dataset_size
ok,10687573628473958_mini_set0_SPT_v1,success
ok,107566135773604552_mini_set0_CRS_v1,success
ok,10867846261429156_mini_set1_RSICB_v1,success
ok,1106044262507746_mini_set2_INS_v1,success
ok,108796365076123590_mini_set1_APL_v1,success
ok,110892615786219085_mini_set0_TEX_v1,success
xx,108516110046312169_mini_set1_MD_5_BIS_v1,AMP
ok,11089458777400297_mini_set1_PNU_v1,success
ok,108610899243977314_mini_set1_TEX_DTD_v1,success
xx,107757520944621803_mini_set2_ACT_410_v1,AMP
xx,107779091062950387_mini_set1_INS_2_v1,AMP
xx,108031753505298562_mini_set1_PNU_v1,batch_size>dataset_size
ok,108244393103623096_mini_set0_SPT_v1,success
xx,106982994991986750_mini_set2_MD_6_v1,success
xx,107160403933292383_mini_set1_PNU_v1,AMP
ok,107643217003550028_mini_set1_ACT_40_v1,success
ok,11096401524879237_mini_set0_BCT_v1,success
ok,1094730252212489_mini_set1_APL_v1,success
ok,109169781669942623_mini_set1_INS_2_v1,success
xx,25084843032769429_mini_set2_ACT_410_v1,AMP
ok,109484888580076145_mini_set0_BCT_v1,success
ok,25445515514141210_mini_set0_SPT_v1,success
ok,108652748426006780_mini_set0_MD_MIX_v1,success
xx,106199597625580256_mini_set2_FNG_v1,OOM
ok,109675333175269510_mini_set2_RSD_v1,success
ok,148827347856780901_mini_set2_PRT_v1,success
ok,114405661357628071_mini_set2_RSD_v1,success
ok,107693778978088708_mini_set0_CRS_v1,success
ok,14898705713420522_mini_set2_FNG_v1,success
xx,111107956263044971_mini_set1_APL_v1,OOM
ok,111608783528598801_mini_set2_BTS_v1,success
ok,110144276200567358_mini_set1_DOG_v1,success
xx,10781028954069429_mini_set1_MED_LF_v1,OOM
ok,108205789559422646_mini_set0_RESISC_v1,success
